method,mse,mae,r2
Uniform random,0.02323207179030176,0.11930080207087548,0.8743964998512133
Grid-based,0.021058998097908226,0.11725734314060259,0.8871962183710089
Gaussian mixture,0.07887356249744051,0.20932038821948057,0.6649982575561453
